thedate,GASMSIA,PETGAS,PETGAS_CR,PETGAS_CS,SIGGAS
2019-02-22 00:00:00,2.89,18.2,0.04,0.035,0.845
2019-02-25 00:00:00,2.85,18.22,0.04,0.035,0.85
2019-02-26 00:00:00,2.88,18.2,0.035,0.035,0.85
2019-02-27 00:00:00,2.88,18.24,0.035,0.035,0.845
2019-02-28 00:00:00,2.86,18.08,0.035,0.035,0.845
2019-03-01 00:00:00,2.82,17.78,0.025,0.025,0.84
2019-03-04 00:00:00,2.82,17.74,0.025,0.025,0.84
2019-03-05 00:00:00,2.82,17.72,0.02,0.025,0.835
2019-03-06 00:00:00,2.83,17.88,0.02,0.025,0.86
2019-03-07 00:00:00,2.8,17.9,0.02,0.025,0.87
2019-03-08 00:00:00,2.81,17.74,0.02,0.025,0.865
2019-03-11 00:00:00,2.79,17.74,0.02,0.02,0.865
2019-03-12 00:00:00,2.83,17.76,0.02,0.02,0.865
2019-03-13 00:00:00,2.83,17.7,0.02,0.02,0.875
2019-03-14 00:00:00,2.84,17.68,0.01,0.02,0.885
2019-03-15 00:00:00,2.87,17.7,0.01,0.02,0.88
2019-03-18 00:00:00,2.9,17.76,0.01,0.02,0.875
2019-03-19 00:00:00,2.88,17.7,0.01,0.02,0.86
2019-03-20 00:00:00,2.88,17.7,0.01,0.02,0.865
2019-03-21 00:00:00,2.89,17.7,0.01,0.095,0.85
2019-03-22 00:00:00,2.88,17.86,0.01,0.015,0.9
2019-03-25 00:00:00,2.88,17.7,0.01,0.01,0.92
2019-03-26 00:00:00,2.86,17.6,0.01,0.01,0.95
2019-03-28 00:00:00,2.86,17.68,0,0.01,0.97
2019-03-29 00:00:00,2.85,17.62,0,0.01,0.935
2019-04-01 00:00:00,2.85,17.54,0,0.01,0.93
2019-04-02 00:00:00,2.88,17.52,0,0.01,0.91
2019-04-03 00:00:00,2.82,17.54,0,0.01,0.92
2019-04-04 00:00:00,2.87,17.52,0,0.01,0.905
2019-04-05 00:00:00,2.82,17.52,0,0.01,0.905
2019-04-08 00:00:00,2.79,17.6,0,0.01,0.895
2019-04-09 00:00:00,2.88,17.68,0,0.01,0.885
2019-04-10 00:00:00,2.88,17.62,0,0.01,0.88
2019-04-11 00:00:00,2.81,17.62,0,0.01,0.89
2019-04-12 00:00:00,2.82,17.68,0,0.01,0.88
2019-04-15 00:00:00,2.82,17.68,0,0.01,0.87
2019-04-16 00:00:00,2.81,17.7,0,0.01,0.85
2019-04-17 00:00:00,2.81,17.74,0,0.01,0.85
2019-04-18 00:00:00,2.82,17.76,0,0.005,0.89
2019-04-19 00:00:00,2.85,17.64,0,0.005,0.855
2019-04-22 00:00:00,2.85,17.64,0,0.005,0.85
2019-04-23 00:00:00,2.88,17.64,0,0.005,0.88
2019-04-24 00:00:00,2.88,17.66,0,0.005,0.86
2019-04-25 00:00:00,2.91,17.54,0,0.005,0.865
2019-04-26 00:00:00,2.9,17.52,0,0.005,0.865
